===== 工作表: Records =====
交易品种	开仓方向	平仓时间	建仓价	平仓价格	平仓量	平仓交易量	净值($)	账户余额 $
欧元美元	卖出	08/06/2022 23:10:57.623	1.07316	1.07392	0.01	1000	-0.82	99.18
欧元美元	卖出	08/06/2022 23:18:00.094	1.07368	1.07406	0.01	1000	-0.44	98.74
US30	买入	08/06/2022 23:20:13.816	33132.5	33117.5	1	1	-15	175.74
US30	买入	08/06/2022 23:24:17.943	33132	33113	1	1	-19	156.74
黄金美元	买入	09/06/2022 00:06:32.512	1858.11	1856.98	0.01	1	-1.25	155.49
黄金美元	买入	09/06/2022 00:06:32.513	1858.81	1856.98	0.1	10	-19.42	136.07
黄金美元	买入	09/06/2022 00:06:32.526	1858.91	1856.98	0.1	10	-20.42	115.65
黄金美元	买入	09/06/2022 00:06:32.539	1858.95	1856.98	0.1	10	-20.82	94.83
黄金美元	买入	09/06/2022 00:43:22.420	1856.67	1856.02	0.2	20	-15.22	79.61
黄金美元	买入	09/06/2022 00:52:53.777	1855.28	1854.8	0.2	20	-11.82	67.79
黄金美元	买入	09/06/2022 01:02:14.111	1855.87	1855.02	0.03	3	-2.89	64.9
黄金美元	买入	09/06/2022 01:02:16.757	1855.6	1854.79	0.05	5	-4.61	60.29
黄金美元	买入	09/06/2022 01:02:16.765	1855.23	1854.79	0.1	10	-5.52	54.77
黄金美元	买入	09/06/2022 01:08:38.571	1855.03	1854.52	0.1	10	-6.22	48.55
黄金美元	买入	09/06/2022 01:37:59.888	1853.89	1853.32	0.05	5	-3.41	45.14
黄金美元	买入	09/06/2022 01:38:21.530	1853.74	1853.28	0.05	5	-2.86	42.28
黄金美元	买入	09/06/2022 01:38:39.435	1853.83	1853.19	0.02	2	-1.5	40.78
黄金美元	买入	09/06/2022 02:32:06.595	1855.13	1853.87	0.01	1	-1.38	39.4
黄金美元	买入	09/06/2022 02:50:00.638	1854.21	1853.15	0.02	2	-2.34	37.06
黄金美元	买入	09/06/2022 02:50:00.648	1854.68	1853.15	0.02	2	-3.28	33.78
黄金美元	买入	09/06/2022 02:50:00.651	1854.2	1853.15	0.02	2	-2.32	31.46
黄金美元	买入	09/06/2022 02:50:00.659	1854.15	1853.12	0.02	2	-2.28	29.18
黄金美元	买入	09/06/2022 02:50:00.659	1854.13	1853.12	0.02	2	-2.24	26.94
黄金美元	买入	09/06/2022 02:50:00.672	1854.15	1853.12	0.02	2	-2.28	24.66
黄金美元	买入	09/06/2022 03:01:24.945	1853.5	1853.3	0.01	1	-0.32	24.34
黄金美元	买入	09/06/2022 03:05:00.784	1853.88	1853.38	0.01	1	-0.62	23.72
黄金美元	买入	09/06/2022 03:10:02.763	1853.48	1852.96	0.01	1	-0.64	23.08
黄金美元	买入	09/06/2022 03:10:02.772	1853.45	1852.96	0.01	1	-0.61	22.47
黄金美元	买入	09/06/2022 03:10:02.775	1853.5	1852.96	0.01	1	-0.66	21.81
黄金美元	买入	09/06/2022 03:10:02.776	1853.5	1852.96	0.01	1	-0.66	21.15
黄金美元	买入	09/06/2022 03:10:02.787	1853.48	1852.96	0.01	1	-0.64	20.51
黄金美元	买入	09/06/2022 03:41:39.813	1853.63	1852.98	0.01	1	-0.77	19.74
黄金美元	买入	09/06/2022 03:41:39.834	1853.63	1852.98	0.01	1	-0.77	18.97
